SKU,Title,Sessions,Units,Conversion_%,Revenue_£,AOV_£
ALP31 - 003,Oatly Barista Oat Drink Long Life 6x1Litre,99541.0,10.0,0.01,169.6,16.96
CAN23 - 007 Prime,Pepsi Max No Sugar Cola Cans 24 x 330ml,56054.0,6.0,0.01,112.44,18.74
TEA50,PG Tips Original | Black Tea Bags Bulk | One Cup | Refreshing & Flavourful | Ideal For Office Catering | 1100 Plant Based Biodegradable Square Teabags,10916.0,2.0,0.02,60.4,30.2
COF06 - 004,Kenco Smooth Instant Coffee - 1 x 750g Tin,7197.0,2.0,0.03,79.5,39.75
TEA11 - 012,"Yorkshire Tea, One Cup Tea Bags 3 Kg",5737.0,2.0,0.03,68.76,34.38
CLE01B - 002,"Fairy Original Hand Dish Washing Up Liquid, Pack of 2 X 5 L",5476.0,3.0,0.05,115.53,38.51
DAN10B - 001,Food Connections | Classic Mix Flapjack Bars | 30 x 100g Bars | 6 Delicious Flavours,4653.0,1.0,0.02,25.02,25.02
SWE21 - 001 Prime,"Special Ingredients Crackle Crystals Popping Candy 500g - Suitable for Vegetarians, Non-GMO, Gluten Free, Non-Irradiated",4400.0,5.0,0.11,98.45,19.69
SWE21 - 001,"Special Ingredients Crackle Crystals Popping Candy 500g - Suitable for Vegetarians, Non-GMO, Gluten Free, Non-Irradiated",4400.0,1.0,0.02,19.02,19.02
MONINT03 - 001,"MONIN Premium Salted Caramel Sauce 500ml for Frappes, Desserts, Cocktails, Hot Chocolates and Garnishes. Vegetarian, Nut-Free, Gluten-Free. 100% Natural Flavour. Squeezy Bottle for Easy Use",4227.0,1.0,0.02,12.06,12.06
CLE01B - 003,( 5ltr Pack ) Fairy Professional Washing Up Liquid Original 5L,4116.0,1.0,0.02,20.69,20.69
MONINS32 - 001 Prime,"MONIN Premium Blueberry Syrup 700ml for Cocktails and Mocktails. Vegan-Friendly, Allergen-Free, 100% Natural Flavours and Colourings",4100.0,10.0,0.24,139.7,13.97
CLA03B - 009,"Callebaut Milk Chocolate Callets, 823-1 kg - 33.6% Cocoa, Finest Belgian Chocolate Buttons",4016.0,32.0,0.8,807.36,25.23
CAW10 - 001,Cawston Press Rhubarb Fizzy Drink Blended With Sparkling Water and Pressed Apple Juice (330ml x 24 cans) | Gluten Free - Vegan - No Added Sugar,3928.0,2.0,0.05,63.18,31.59
SAL03A - 001,"Maldon - Sea Salt Flakes, Unique Pyramid Shaped Salt Flakes, Perfect for a Wide Range of Dishes, Hand-Harvested for Four Generations, 1.4kg Tub",3425.0,3.0,0.09,68.16,22.72
OIL27A - 002 Prime,KTC 100% Pure Coconut Oil 500ml (Pack of 3),3311.0,1.0,0.03,13.99,13.99
GRA19 - 002,"Bisto Flavoursome & Delicious Gluten Free Fine Gravy Granules for Hearty Family Mealtimes, 1.9 kg Tub (Pack of 1)",3266.0,5.0,0.15,111.8,22.36
BAK01 - 009 Prime,500g Fermipan Yeast Instant Dried Yeast Baker Bakery Baking Bread Dough Catering,3105.0,10.0,0.32,78.6,7.86
BAK01 - 009,500g Fermipan Yeast Instant Dried Yeast Baker Bakery Baking Bread Dough Catering,3105.0,8.0,0.26,58.09,7.26
GRA04 - 001 Prime,"Bisto The Original Gravy Powder Just Add to Roasting Juices, 3 kg Tub (Pack of 1) - Packaging may vary",3066.0,21.0,0.68,694.68,33.08
CHO00 - 001,Cacao Barry Amber Cocoa Powder Extra Brute 1kg,2988.0,2.0,0.07,54.51,27.26
CHO00 - 002,Cacao Barry Amber Cocoa Powder Extra Brute 1kg,2988.0,38.0,1.27,913.64,24.04
Chef William - 001 Uk shipping,Onion Powder & Garlic Powder 500g Each - Chef William - Large Shaker Jar,2956.0,10.0,0.34,124.9,12.49
Chef William - 001 Prime,Onion Powder & Garlic Powder 500g Each - Chef William - Large Shaker Jar,2956.0,336.0,11.37,4196.64,12.49
CHO30A - 002 Prime,"Mars, Kinder, Cadbury and Nestle Chocolate Bulk Buy (Kit Kat 4 Finger 24 x 41.5g Box, (1 Pack))",2937.0,27.0,0.92,521.64,19.32
NAPKIN82 - 001 Prime,Kleenex® Take a Moment Collection Tissues - 12 Cube Tissue Boxes - in Aid of Mind - Contains 4 Different Designs,2813.0,1.0,0.04,26.95,26.95
ORI23 - 001,Mae Ploy Massaman Curry Paste - 400gram,2755.0,1.0,0.04,6.95,6.95
SPR32 - 001,"ManiLife Original Roast Smooth Peanut Butter, 900g Tub - Small Batch Vegan Peanut Butter Made from Single Origin Grade-A Argentine Peanuts - No Palm Oil, No Added Sugar, No GMOs",2727.0,1.0,0.04,20.53,20.53
FENTIM009 - 001 Prime,Fentimans Rose Lemonade - Botanically Brewed Lemonade made with Lemon Juice - Exquisitely Crafted & Refreshing Soft Drinks - Gluten-Free and Vegan Friendly Soft Drinks - 12 x 275ml Bottles,2713.0,2.0,0.07,56.34,28.17
JAM03B - 009 Prime,Country Range Assorted Jam Portions - 1x100x20g,2538.0,7.0,0.28,111.86,15.98
FENTIM010 - 001 Prime,Fentimans Traditional Victorian Lemonade - Botanically Brewed Lemonade with Lemon Juice - Exquisitely Crafted & Refreshing Soft Drinks - Gluten-Free and Vegan Friendly Soft Drinks - 12 x 275ml Bottles,2494.0,2.0,0.08,45.84,22.92
FENTIM001 - 001 Prime,Fentimans Curiosity Cola - Botanically Brewed Cola - Exquisitely Crafted & Refreshing Soft Drinks - Gluten-Free and Vegan Friendly Soft Drinks - 12 x 275ml Bottles,2467.0,1.0,0.04,27.84,27.84
CAN14B - 001 Prime,San Pellegrino | Lemon Sparkling Soft Drinks | 6 X 4 330Ml | 24 Cans,2450.0,16.0,0.65,418.53,26.16
UHT31B - 005 prime,Jersey Dairy Jersey Dairy Luxury Dairy Ice Cream Mix x 1 Litre,2434.0,60.0,2.47,520.29,8.67
UHT31B - 005,Jersey Dairy Jersey Dairy Luxury Dairy Ice Cream Mix x 1 Litre,2434.0,14.0,0.58,114.1,8.15
ORI08C - 001,"Lee Kum Kee Gluten Free Oyster Sauce, 2.31 kg (Pack of 1)",2413.0,8.0,0.33,131.99,16.5
ORI06B,"Lee Kum Kee Sweet and Sour Sauce, Professional Range Bulk Size, Vegan, 2.3 kg (Pack of 1)",2346.0,2.0,0.09,33.08,16.54
ORI06B Prime,"Lee Kum Kee Sweet and Sour Sauce, Professional Range Bulk Size, Vegan, 2.3 kg (Pack of 1)",2346.0,1.0,0.04,17.12,17.12
MONINS21,"MONIN Premium Tiramisu Syrup 700ml for Coffee, Baking and Cocktails. Vegan-Friendly, Allergen-Free, 100% Natural Flavours and Colourings",2256.0,1.0,0.04,13.68,13.68
UHT03 - 002 Prime,Kerrymaid Whipping UHT 1L,2253.0,1.0,0.04,8.21,8.21
MONINS27 - 003 Prime,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,2252.0,237.0,10.52,3242.16,13.68
MONINS27 - 003,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,2252.0,42.0,1.87,546.42,13.01
CAL03B - 002,Callebaut Chocolate Callets -Milk- 1 kg,2120.0,28.0,1.32,722.68,25.81
BUNDLE001 - 002,"Callebaut, Milk, Dark & White chocolate chips (3 x 1kg Bundle)",2108.0,1.0,0.05,64.7,64.7
ORI01 - 002 Prime,"Blue Dragon Original Thai Sweet Chilli Dipping Sauce 1L | Medium Heat | Perfect With Goujons, Wraps, Burgers, Chicken, Halloumi & More",2064.0,1.0,0.05,10.51,10.51
RUMMO008 - 009 Prime,"Rummo Rigatoni Pasta No.50 - Premium Italian Tube Pasta, Expertly Ridged for a Robust Sauce Retention, 500 g (Pack of 1)",2000.0,7.0,0.35,48.09,6.87
CAL02A - 003,Callebaut Select 811 Dark Chocolate Callets 1 kg,1971.0,1.0,0.05,24.82,24.82
MONINS07,"MONIN Premium Chai Tea Concentrate 700ml for Chai and Cocktails. Vegan-Friendly, Allergen-Free, 100% Natural Extracts and Colourings",1957.0,2.0,0.1,27.94,13.97
BAR80 - 001 Prime,Walkers Quavers Cheese Snacks Crisps 20g (Pack of 32),1944.0,1.0,0.05,31.65,31.65
MAY25A - 003,Kewpie Mayonnaise 15.87oz/450g Pack Of 3,1879.0,1.0,0.05,19.98,19.98
MAY25A - 003 Prime,Kewpie Mayonnaise 15.87oz/450g Pack Of 3,1879.0,77.0,4.1,1528.15,19.85
MONINS33 - 001 Prime,"MONIN Premium Blackberry Syrup 700ml for Cocktails and Mocktails. Vegan-Friendly, Allergen-Free, 100 Percent Natural Flavours and Colourings. Sugar Syrup",1850.0,9.0,0.49,125.73,13.97
PAS03 - 001,Triple Lion Professional Chef's Fusilli Twists 100% Durum Wheat Semolina Pasta 3kg,1844.0,61.0,3.31,601.05,9.85
CLE01B - 008,"FAIRY PX03351 Original Hand Dish Washing Liquid, 5 L",1818.0,1.0,0.06,20.69,20.69
EAGERO001 - 001,"Eager Smooth Orange Juice 100% Squeezed, Refreshing Fruit Drink, No Bits, NFC Not From Concentrate, 1 Litre (Pack of 8)",1768.0,10.0,0.57,355.5,35.55
GRA02B,"Bisto Flavoursome & Delicious for Meat Gravy Granules for Hearty Family Mealtimes, 1.8 kg Tub (Pack of 1)",1764.0,1.0,0.06,19.96,19.96
